m,TagName,
"2010-12-01 00:00:00","javascript","4951"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5347"
"2010-12-01 00:00:00","python","2472"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7976"
"2011-01-01 00:00:00","c++","3482"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6527"
"2011-01-01 00:00:00","javascript","5415"
"2011-01-01 00:00:00","perl","475"
"2011-01-01 00:00:00","php","6374"
"2011-01-01 00:00:00","python","2897"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1202"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1632"
"2011-02-01 00:00:00","c#","8202"
"2011-02-01 00:00:00","c++","3434"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6850"
"2011-02-01 00:00:00","javascript","5590"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6664"
"2011-02-01 00:00:00","python","3006"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","c#","9965"
"2011-03-01 00:00:00","c++","4165"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8448"
"2011-03-01 00:00:00","javascript","6755"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8047"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9250"
"2011-04-01 00:00:00","c++","4158"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7879"
"2011-04-01 00:00:00","javascript","6868"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7570"
"2011-04-01 00:00:00","python","3324"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1821"
"2011-05-01 00:00:00","c#","9962"
"2011-05-01 00:00:00","c++","3862"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8524"
"2011-05-01 00:00:00","javascript","7286"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8032"
"2011-05-01 00:00:00","python","3509"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1563"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1759"
"2011-06-01 00:00:00","c#","9714"
"2011-06-01 00:00:00","c++","3797"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7859"
"2011-06-01 00:00:00","javascript","7655"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7982"
"2011-06-01 00:00:00","python","3458"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1654"
"2011-07-01 00:00:00","c#","9554"
"2011-07-01 00:00:00","c++","3844"
"2011-07-01 00:00:00","delphi","427"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8119"
"2011-07-01 00:00:00","javascript","8074"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8590"
"2011-07-01 00:00:00","python","3646"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","9999"
"2011-08-01 00:00:00","c++","3941"
"2011-08-01 00:00:00","delphi","421"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8627"
"2011-08-01 00:00:00","javascript","8861"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8833"
"2011-08-01 00:00:00","python","3814"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c#","9235"
"2011-09-01 00:00:00","c++","3923"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8276"
"2011-09-01 00:00:00","javascript","8133"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7979"
"2011-09-01 00:00:00","python","3506"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2137"
"2011-10-01 00:00:00","c#","9149"
"2011-10-01 00:00:00","c++","4330"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8495"
"2011-10-01 00:00:00","javascript","7970"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7962"
"2011-10-01 00:00:00","python","3598"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9834"
"2011-11-01 00:00:00","c++","4447"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9562"
"2011-11-01 00:00:00","javascript","8596"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8593"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","1997"
"2011-12-01 00:00:00","c#","9239"
"2011-12-01 00:00:00","c++","4326"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9107"
"2011-12-01 00:00:00","javascript","8262"
"2011-12-01 00:00:00","perl","537"
"2011-12-01 00:00:00","php","8254"
"2011-12-01 00:00:00","python","3602"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1663"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2214"
"2012-01-01 00:00:00","c#","10304"
"2012-01-01 00:00:00","c++","4509"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10045"
"2012-01-01 00:00:00","javascript","9520"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9167"
"2012-01-01 00:00:00","python","4174"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2389"
"2012-02-01 00:00:00","c#","10656"
"2012-02-01 00:00:00","c++","5070"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10849"
"2012-02-01 00:00:00","javascript","9887"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9784"
"2012-02-01 00:00:00","python","4468"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2704"
"2012-03-01 00:00:00","c#","11453"
"2012-03-01 00:00:00","c++","5181"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12246"
"2012-03-01 00:00:00","javascript","10601"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10734"
"2012-03-01 00:00:00","python","4997"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","275"
"2012-04-01 00:00:00","c","2655"
"2012-04-01 00:00:00","c#","10973"
"2012-04-01 00:00:00","c++","5257"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11888"
"2012-04-01 00:00:00","javascript","10554"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10239"
"2012-04-01 00:00:00","python","4879"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1948"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c","2462"
"2012-05-01 00:00:00","c#","11413"
"2012-05-01 00:00:00","c++","4943"
"2012-05-01 00:00:00","delphi","474"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12040"
"2012-05-01 00:00:00","javascript","11391"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10791"
"2012-05-01 00:00:00","python","5048"
"2012-05-01 00:00:00","r","871"
"2012-05-01 00:00:00","ruby","1953"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2301"
"2012-06-01 00:00:00","c#","11241"
"2012-06-01 00:00:00","c++","4615"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","11014"
"2012-06-01 00:00:00","javascript","11160"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10465"
"2012-06-01 00:00:00","python","5251"
"2012-06-01 00:00:00","r","969"
"2012-06-01 00:00:00","ruby","1882"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2362"
"2012-07-01 00:00:00","c#","12261"
"2012-07-01 00:00:00","c++","5253"
"2012-07-01 00:00:00","delphi","437"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12197"
"2012-07-01 00:00:00","javascript","12278"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11661"
"2012-07-01 00:00:00","python","5710"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","ruby","2056"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2312"
"2012-08-01 00:00:00","c#","11916"
"2012-08-01 00:00:00","c++","5147"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12212"
"2012-08-01 00:00:00","javascript","12394"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11815"
"2012-08-01 00:00:00","python","5851"
"2012-08-01 00:00:00","r","1085"
"2012-08-01 00:00:00","ruby","2056"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2522"
"2012-09-01 00:00:00","c#","11244"
"2012-09-01 00:00:00","c++","4894"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11584"
"2012-09-01 00:00:00","javascript","11142"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10927"
"2012-09-01 00:00:00","python","5241"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1952"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3148"
"2012-10-01 00:00:00","c#","12685"
"2012-10-01 00:00:00","c++","5894"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13443"
"2012-10-01 00:00:00","javascript","12379"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11701"
"2012-10-01 00:00:00","python","6120"
"2012-10-01 00:00:00","r","1265"
